time_stamp,name,ballots_cast,total_voters,voter_turnout,ballots_completed_percentage,precincts_reported,precincts_participating,precincts_reported_percent,ballots_ready,ballots_remaining,earlies_remaining,prov_remaining
2022-11-08T20:57:55.23,Santa Cruz,7740,29189,26.52,0,0,24,0,0,0,0,0
2022-11-08T20:57:55.23,Yavapai,80458,166052,48.45,0,45,49,91.84,0,0,0,0
2022-11-08T20:57:55.23,Yuma,29203,105133,27.78,0,0,46,0,0,0,0,0
2022-11-08T21:01:18.767,State,1339743,4143929,29.72,0,1029,1734,31.53,0,0,0,0
2022-11-08T21:01:18.767,Apache,0,51981,0,0,0,44,0,0,0,0,0
2022-11-08T21:01:18.767,Cochise,26065,77394,33.68,0,49,55,89.09,0,0,0,0
2022-11-08T21:01:18.767,Coconino,28438,90829,31.31,0,0,76,0,0,0,0,0
2022-11-08T21:01:18.767,Gila,14399,33949,42.41,0,0,39,0,0,0,0,0
2022-11-08T21:01:18.767,Graham,9318,19487,47.82,0,21,22,95.45,0,0,0,0
2022-11-08T21:01:18.767,Greenlee,1150,4669,24.63,0,0,8,0,0,0,0,0
2022-11-08T21:01:18.767,La Paz,2902,11311,25.66,0,11,11,100,0,0,0,0
2022-11-08T21:01:18.767,Maricopa,843333,2435397,34.63,0,903,935,96.58,0,0,0,0
2022-11-08T21:01:18.767,Mohave,47109,146919,32.06,0,0,24,0,0,0,0,0
2022-11-08T21:01:18.767,Navajo,17621,69040,25.52,0,0,14,0,0,0,0,0
2022-11-08T21:01:18.767,Pima,191863,639885,29.98,0,0,278,0,0,0,0,0
2022-11-08T21:01:18.767,Pinal,40144,262694,15.28,0,0,109,0,0,0,0,0
2022-11-08T21:01:18.767,Santa Cruz,7740,29189,26.52,0,0,24,0,0,0,0,0
2022-11-08T21:01:18.767,Yavapai,80458,166052,48.45,0,45,49,91.84,0,0,0,0
2022-11-08T21:01:18.767,Yuma,29203,105133,27.78,0,0,46,0,0,0,0,0
2022-11-08T21:13:31.64,State,1339842,4143929,29.77,0,1029,1734,31.53,0,0,0,0
2022-11-08T21:13:31.64,Apache,0,51981,0,0,0,44,0,0,0,0,0
2022-11-08T21:13:31.64,Cochise,26065,77394,33.68,0,49,55,89.09,0,0,0,0
2022-11-08T21:13:31.64,Coconino,28438,90829,31.31,0,0,76,0,0,0,0,0
2022-11-08T21:13:31.64,Gila,14399,33949,42.41,0,0,39,0,0,0,0,0
2022-11-08T21:13:31.64,Graham,9318,19487,47.82,0,21,22,95.45,0,0,0,0
2022-11-08T21:13:31.64,Greenlee,1150,4669,24.63,0,0,8,0,0,0,0,0
2022-11-08T21:13:31.64,La Paz,3001,11311,26.53,0,11,11,100,0,0,0,0
2022-11-08T21:13:31.64,Maricopa,843333,2435397,34.63,0,903,935,96.58,0,0,0,0
2022-11-08T21:13:31.64,Mohave,47109,146919,32.06,0,0,24,0,0,0,0,0
2022-11-08T21:13:31.64,Navajo,17621,69040,25.52,0,0,14,0,0,0,0,0
2022-11-08T21:13:31.64,Pima,191863,639885,29.98,0,0,278,0,0,0,0,0
2022-11-08T21:13:31.64,Pinal,40144,262694,15.28,0,0,109,0,0,0,0,0
2022-11-08T21:13:31.64,Santa Cruz,7740,29189,26.52,0,0,24,0,0,0,0,0
2022-11-08T21:13:31.64,Yavapai,80458,166052,48.45,0,45,49,91.84,0,0,0,0
2022-11-08T21:13:31.64,Yuma,29203,105133,27.78,0,0,46,0,0,0,0,0
2022-11-08T21:23:49.99,State,1340538,4143929,30.18,0,1029,1734,31.53,0,0,0,0
2022-11-08T21:23:49.99,Apache,0,51981,0,0,0,44,0,0,0,0,0
2022-11-08T21:23:49.99,Cochise,26065,77394,33.68,0,49,55,89.09,0,0,0,0
2022-11-08T21:23:49.99,Coconino,28438,90829,31.31,0,0,76,0,0,0,0,0
2022-11-08T21:23:49.99,Gila,14399,33949,42.41,0,0,39,0,0,0,0,0
2022-11-08T21:23:49.99,Graham,9318,19487,47.82,0,21,22,95.45,0,0,0,0
2022-11-08T21:23:49.99,Greenlee,1150,4669,24.63,0,0,8,0,0,0,0,0
2022-11-08T21:23:49.99,La Paz,3697,11311,32.68,0,11,11,100,0,0,0,0
